Brewery Name,City,State,Type of Brewery,Type of Distribution,Notes,# Locations,Locations
Backswing Brewing Co.,Lincoln,Nebraska,Micro,On-tap at the brewery and at select locations,Distro planned for 2016,1,Lincoln
Benson Brewery,Omaha,Nebraska,Taproom,On tap only at the brewery,"Other beers, locals included, on tap. Omaha Brewing is the parent company",1,Omaha
Boiler Brewing Company,Lincoln,Nebraska,Taproom,On tap only at the brewery,Tours posted on FB page,2,Lincoln / Lincoln - South
Bolo Beer Co.,Valentine,Nebraska,Taproom,On tap at the brewery and select distribution around Omaha,,1,Valentine
"Bootleg Brewers, Sandhills Brewing Co.",Taylor,Nebraska,Brewpub,Taproom only,Steakhouse and lodging available,1,Taylor
Bottle Rocket Brewing Company,Seward,Nebraska,Taproom,,Opened fall 2015,1,Seward
Brewery 719,Alliance,Nebraska,Taproom,On-tap at the brewery,Opened Feb 2019,1,Alliance
Brickway Brewery & Distillery,Omaha,Nebraska,Micro,On tap and select distribution around Omaha; Distillery,formerly Borgata,1,Omaha - Downtown
Brush Creek Brewing Company,Atkinson,Nebraska,Brewpub,,,1,Atkinson
Canyon Lakes Brewing Company,Johnson Lake,Nebraska,Brewpub,On tap at the brewery,"Opened June 19, 2019",1,Johnson Lake
Catalyst Brewing Company,Lincoln,Nebraska,Brewpub,On-tap at the brewery,"Owned by the LOCAL Beer, Patio, & Kitchen folks; Formerly 5168 Brewing (March 2020)",1,Lincoln
Code Beer Company,Lincoln,Nebraska,Micro,On tap at the brewery,,1,Lincoln
Cosmic Eye Brewing,Lincoln,Nebraska,Taproom,"On tap, crowlers, retail cans",Opened 03-Oct-2018,1,Lincoln
Divots Brewery,Norfolk,Nebraska,Brewpub,,Small brewing operation in the conference center dining area.,1,Norfolk
Empyrean Brewing Company,Lincoln,Nebraska,Micro,"On tap state-wide, bottles",Oldest Microbrew in Nebraska,1,Lincoln - Haymarket
Fairfield Opera House Brewery & Grill,Fairfield,Nebraska,Brewpub,,,1,Fairfield
Farnam House Brewing Company,Omaha,Nebraska,Brewpub,On tap only at the brewery,Formerly Goldenrod,1,Omaha - Midtown
First Street Brewing Company,Hastings,Nebraska,Taproom,On-tap at the brewery and at select locations,,1,Hastings
Flyover Brewing Company,Scottsbluff,Nebraska,Brewpub,On tap at the brewery,Opened Sept 2018,1,Scottsbluff
Gottberg Brew Pub,Columbus,Nebraska,Brewpub,On tap only at the brewery,Root beer and cream soda,1,Columbus
Granite City Food & Brewery,Omaha,Nebraska,Chain,On tap only at the brewery,,2,Omaha / Lincoln
Hanging Horseshoe Brewing Company,Imperial,Nebraska,Taproom,On tap on-site only,Part of Broken Arrow Cellars Winery,1,Imperial
Hwy 14 Brewing Company,Albion,Nebraska,Micro,On tap at the brewery,Opened October 2018,1,Albion
Infusion Brewing Company,Benson,Nebraska,Micro,"On tap throughout Omaha and at the brewery, special bottle releases",12-15 house-brewed beers,4,Benson / Omaha - SW / Omaha - Little Bohemia / Omaha - The Switch
Jaipur Brewing Company,Omaha,Nebraska,Brewpub,On tap only at the brewery,,1,Omaha - West
